date,demand_mwh,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,TAVG_squared,month,day_of_week,year
2023-01-01,900387,8.72,0.0,0.0,0.0,66.0,77.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4356.0,1,6,2023
2023-01-02,971904,8.5,0.0,0.0,0.0,69.0,78.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4761.0,1,0,2023
2023-01-03,963741,7.16,0.0,0.0,0.0,65.0,69.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4225.0,1,1,2023
2023-01-04,984015,2.91,0.0,0.0,0.0,50.0,59.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,1,2,2023
2023-01-05,1012246,3.58,0.0,0.0,0.0,48.0,62.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2304.0,1,3,2023
2023-01-06,1014085,10.07,0.0,0.0,0.0,54.0,70.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2916.0,1,4,2023
2023-01-07,936255,10.07,0.0,0.0,0.0,60.0,65.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,1,5,2023
2023-01-08,930316,4.7,0.0,0.0,0.0,52.0,63.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2704.0,1,6,2023
2023-01-09,992613,7.16,0.0,0.0,0.0,52.0,69.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2704.0,1,0,2023
2023-01-10,982395,5.82,0.0,0.0,0.0,62.0,82.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3844.0,1,1,2023
2023-01-11,1003918,8.5,0.0,0.0,0.0,70.0,82.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900.0,1,2,2023
2023-01-12,999240,17.45,0.0,0.0,0.0,58.0,69.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3364.0,1,3,2023
2023-01-13,1055306,5.59,0.0,0.0,0.0,46.0,58.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2116.0,1,4,2023
2023-01-14,1043441,9.62,0.0,0.0,0.0,49.0,62.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2401.0,1,5,2023
2023-01-15,969456,14.99,0.0,0.0,0.0,56.0,70.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3136.0,1,6,2023
2023-01-16,970258,8.72,0.0,0.0,0.0,67.0,76.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4489.0,1,0,2023
2023-01-17,984637,6.04,0.0,0.0,0.0,64.0,80.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,1,1,2023
2023-01-18,986459,9.62,0.0,0.0,0.0,66.0,72.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4356.0,1,2,2023
2023-01-19,979339,10.07,0.0,0.0,0.0,55.0,61.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3025.0,1,3,2023
2023-01-20,1026747,5.59,0.0,0.0,0.0,51.0,62.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.0,1,4,2023
2023-01-21,991664,7.61,0.0,0.0,0.0,51.0,57.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.0,1,5,2023
2023-01-22,1012803,11.41,0.0,0.0,0.0,46.0,55.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2116.0,1,6,2023
2023-01-23,1112921,5.82,0.0,0.0,0.0,44.0,54.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1936.0,1,0,2023
2023-01-24,1130378,11.18,0.85,0.0,0.0,45.0,49.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.0,1,1,2023
2023-01-25,1173183,9.17,0.0,0.0,0.0,39.0,44.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1521.0,1,2,2023
2023-01-26,1155178,4.7,0.0,0.0,0.0,41.0,55.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1681.0,1,3,2023
2023-01-27,1139006,7.16,0.0,0.0,0.0,46.0,61.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2116.0,1,4,2023
2023-01-28,1001478,9.62,0.0,0.0,0.0,53.0,68.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2809.0,1,5,2023
2023-01-29,1026041,12.3,0.0,0.0,0.0,51.0,64.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.0,1,6,2023
2023-01-30,1348106,11.86,0.01,0.0,0.0,29.0,31.0,26.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,841.0,1,0,2023
2023-01-31,1477577,10.96,0.56,1.0,0.0,26.0,28.0,25.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,676.0,1,1,2023
2023-02-01,1445087,7.61,0.12,0.3,1.2,28.0,31.0,27.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,784.0,2,2,2023
2023-02-02,1363012,7.61,0.23,0.0,1.2,31.0,35.0,31.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,961.0,2,3,2023
2023-02-03,1214477,4.03,0.0,0.0,0.0,36.0,53.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1296.0,2,4,2023
2023-02-04,1097838,7.38,0.0,0.0,0.0,44.0,57.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1936.0,2,5,2023
2023-02-05,978331,6.71,0.0,0.0,0.0,54.0,71.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2916.0,2,6,2023
2023-02-06,975204,14.09,0.0,0.0,0.0,62.0,73.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3844.0,2,0,2023
2023-02-07,999585,10.29,0.08,0.0,0.0,61.0,64.0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3721.0,2,1,2023
2023-02-08,1070625,9.17,1.1,0.0,0.0,47.0,49.0,40.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2209.0,2,2,2023
2023-02-09,1071415,5.14,0.0,0.0,0.0,46.0,65.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2116.0,2,3,2023
2023-02-10,1110537,14.54,0.0,0.0,0.0,46.0,50.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2116.0,2,4,2023
2023-02-11,1121478,7.38,0.0,0.0,0.0,42.0,55.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1764.0,2,5,2023
2023-02-12,1055623,6.49,0.0,0.0,0.0,48.0,67.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2304.0,2,6,2023
2023-02-13,1034265,8.05,0.0,0.0,0.0,56.0,67.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3136.0,2,0,2023
2023-02-14,987340,12.3,0.52,0.0,0.0,62.0,71.0,52.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3844.0,2,1,2023
2023-02-15,1011064,10.51,0.0,0.0,0.0,62.0,78.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3844.0,2,2,2023
